"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
125,1,35,2.95,6849760986,3249760986,1,0.01801766827702522,2.949495553970337,0.0514845997095108
122,3,36,2.956,6849760990,3249760990,3,0.01854752004146576,2.951890707015991,0.1547050923109055
118,5,38,2.96,6849760995,3249760995,5,0.01955661550164223,2.948671340942383,0.25798100233078
125,6,39,2.976,6849760997,3249760997,-9,0.02000743709504604,2.939292430877686,-0.46554896235466
30,7,40,2.934,6849760999,3249760999,7,0.02033033967018127,2.912059545516968,0.3575646579265594
134,8,41,2.984,6849761002,3249761002,-7,0.02119371294975281,2.961681842803955,-0.3636581301689148
115,9,41,2.976,6849761004,3249761004,9,0.02103344351053238,2.939285278320313,0.46554896235466
133,10,42,2.988,6849761006,3249761006,-5,0.02181963995099068,2.976549863815308,-0.2604213654994965
96,11,43,2.986,6849761009,3249761009,11,0.02199774235486984,2.931056261062622,0.5697556734085083
130,12,44,2.942,6849761011,3249761011,-3,0.02256175316870213,2.937881469726563,-0.1539723873138428
108,13,45,3.028,6849761013,3249761013,13,0.02317208983004093,2.950301647186279,0.681151807308197
127,14,46,2.938,6849761016,3249761016,-1,0.02358392998576164,2.937457799911499,-0.05127517133951187
111,15,46,3.05,6849761018,3249761018,15,0.0236523412168026,2.945978879928589,0.7893980741500854
133,1,55,2.956,6849761041,3249761041,1,0.02837080508470535,2.955413579940796,0.05158931389451027
133,3,56,2.952,6849761046,3249761046,3,0.02881238609552383,2.947813510894775,0.1544957458972931
129,5,58,2.964,6849761050,3249761050,5,0.02988961897790432,2.952569723129272,0.2583296298980713
81,6,59,2.996,6849761052,3249761052,-9,0.03047076985239983,2.958957433700562,-0.4686776697635651
18,7,60,2.382,6849761055,3249761055,7,0.02475786209106445,2.364115238189697,0.2902927696704865
120,8,61,2.952,6849761057,3249761057,-7,0.03119364008307457,2.929830074310303,-0.3597582876682281
119,9,61,2.968,6849761059,3249761059,9,0.03120921365916729,2.931292772293091,0.4642975032329559
120,10,62,2.968,6849761062,3249761062,-5,0.03199401125311852,2.956532716751099,-0.2586782574653625
54,11,63,2.994,6849761064,3249761064,11,0.03231525048613548,2.938814163208008,0.5712821483612061
118,12,64,2.918,6849761066,3249761066,-3,0.03254902735352516,2.913819074630737,-0.1527163237333298
126,13,65,2.992,6849761069,3249761069,13,0.03307249397039413,2.915127515792847,0.6730535626411438
127,14,66,2.952,6849761071,3249761071,-1,0.03399866819381714,2.951354503631592,-0.05151950195431709
125,15,67,3.034,6849761073,3249761073,15,0.03426901623606682,2.930418491363525,0.7852569818496704
118,1,75,2.952,6849761096,3249761096,1,0.03863460198044777,2.951297521591187,0.05151950195431709
121,3,77,2.932,6849761101,3249761101,3,0.0393480658531189,2.927717447280884,0.1534490287303925
122,5,78,2.968,6849761105,3249761105,5,0.04025007411837578,2.956431865692139,0.2586782574653625
39,6,79,2.98,6849761108,3249761108,-9,0.04058138653635979,2.943031549453735,-0.4661746919155121
51,7,80,2.412,6849761110,3249761110,7,0.03342575579881668,2.393787860870361,0.2939488589763641
68,8,81,2.968,6849761112,3249761112,-7,0.04164496809244156,2.945582628250122,-0.3617082238197327
112,9,81,2.966,6849761115,3249761115,9,0.04141321778297424,2.929190874099731,0.4639846086502075
79,10,82,2.974,6849761117,3249761117,-5,0.0423995815217495,2.962379693984985,-0.2592011690139771
27,11,83,2.428,6849761119,3249761119,11,0.03452514484524727,2.383140802383423,0.4632842540740967
79,12,84,2.922,6849761122,3249761122,-3,0.04277851432561874,2.917681932449341,-0.1529256701469421
127,13,85,3.022,6849761124,3249761124,13,0.04368162155151367,2.944222211837769,0.6798020601272583
